State/UT,5th Instalment (April 2020 to July 2020) - No. of Beneficiaries,6th Instalment (August 2020 to November 2020) - No. of Beneficiaries,7th Instalment (December 2020 to March 2021) - No. of Beneficiaries,8th Instalment (April 2021 to July 2021) - No. of Beneficiaries,9th Instalment (August 2021 to November 2021) - No. of Beneficiaries,10th Instalment (December 2021 to March 2022) - No. of Beneficiaries,11th Instalment (April 2022 to July 2022) - No. of Beneficiaries,12th Instalment (August 2022 to November 2022) - No. of Beneficiaries,13th Instalment (December 2022 to March 2023) - No. of Beneficiaries,14th Instalment (April 2023 to July 2023) - No. of Beneficiaries,15th Instalment (August 2023 to November 2023) - No. of Beneficiaries,16th Instalment (December 2023 to March 2024) - No. of Beneficiaries,17th Instalment (April 2024 to July 2024) - No. of Beneficiaries,18th Instalment (August 2024 to November 2024) - No. of Beneficiaries,19th Instalment (December 2024 to March 2025) - No. of Beneficiaries,Total_Beneficiaries
Andaman and Nicobar Islands,15971.0,16254.0,16109.0,16086,15593,15089.0,14952.0,14309,13046.0,13098,3620,12289,12546,12832.0,12987.0,204781.0
Andhra Pradesh,4757732.0,4690575.0,4536383.0,4463029,4428728,4461405.0,4400711.0,4151020,4074033.0,4136680,3956937,4076365,4140573,4122499.0,4127619.0,64524289.0
Arunachal Pradesh,89275.0,90143.0,91858.0,91869,92730,93002.0,94712.0,93726,60678.0,68867,54805,80100,67613,90470.0,94948.0,1254796.0
Assam,1896670.0,1247617.0,1393366.0,1292543,927709,1094394.0,882152.0,489138,615136.0,875773,1215892,1631142,1814323,1887572.0,2087406.0,19350833.0
Bihar,6955360.0,7538397.0,7680555.0,7924949,8094051,8263515.0,8305363.0,8167341,7372112.0,7569397,7223746,7565165,7655844,7581016.0,7590575.0,115487386.0
Chandigarh,430.0,430.0,402.0,386,378,389.0,367.0,5,307.0,134,275,340,349,,,4192.0
Chhattisgarh,2479764.0,2640364.0,2917728.0,2849560,3024437,2772179.0,2739785.0,2037413,1994017.0,2024666,2154232,2320638,2431803,2507751.0,2594151.0,37488488.0
Delhi,13331.0,14045.0,13690.0,13975,14490,14618.0,14887.0,12409,12659.0,12931,8302,10240,10808,10829.0,11084.0,188298.0
Goa,8339.0,9145.0,8762.0,9263,9127,8879.0,8541.0,6638,5949.0,5664,5982,6263,6322,6333.0,6381.0,111588.0
Gujarat,5295260.0,5567092.0,5402201.0,5544114,5605182,5842177.0,5880275.0,5187489,4379256.0,4517889,4235547,4640942,4845936,4912366.0,5134410.0,76990136.0
Haryana,1687059.0,1825205.0,1842852.0,1741136,1845868,1865794.0,1841469.0,1314816,1469385.0,1539264,1384970,1518314,1587993,1599896.0,1637141.0,24701162.0
Himachal Pradesh,890915.0,909924.0,904003.0,908857,936726,941413.0,942139.0,572313,670404.0,739077,715976,771356,806655,817540.0,830495.0,12357793.0
Jammu and Kashmir,1027714.0,1112826.0,1128531.0,871763,879843,1097307.0,1092694.0,432237,667414.0,732042,765561,825687,853716,858653.0,880247.0,13226235.0
Jharkhand,1518919.0,2277847.0,2255878.0,1590306,1628564,1659896.0,2225576.0,1274727,1176905.0,1302856,1259786,1618076,1842849,1997392.0,1983858.0,25613435.0
Karnataka,5114512.0,5219763.0,5281757.0,5177909,5213008,3453252.0,4920226.0,5005179,4847557.0,4934535,4378004,4434072,4304824,4348125.0,4395092.0,71027815.0
Kerala,3001875.0,3352809.0,3464880.0,3357696,3482013,3545255.0,3462020.0,2001853,2129986.0,2341004,2350849,2648060,2757444,2815234.0,2878013.0,43588991.0
Ladakh,14078.0,13679.0,16740.0,17425,17088,17190.0,17311.0,16500,14499.0,14453,14807,17682,18192,18208.0,18400.0,246252.0
Lakshadweep,650.0,700.0,827.0,870,833,,,841,725.0,1436,1211,1314,1972,2198.0,2303.0,15880.0
Madhya Pradesh,7494283.0,7853625.0,8000443.0,8260082,8329618,8452138.0,8347904.0,8158936,7144651.0,7642673,7568448,7987475,8080410,8137378.0,8333799.0,119791863.0
Maharashtra,9697559.0,10520967.0,10392774.0,9238521,10252878,10445449.0,10126235.0,9026775,8122854.0,8560228,8454904,8961725,9143101,9143517.0,9260727.0,141348214.0
Manipur,454134.0,350676.0,356367.0,287288,277913,280143.0,364833.0,366207,,3711,5871,104234,79194,85932.0,85965.0,3102468.0
Meghalaya,162524.0,177153.0,181428.0,180845,191116,186232.0,96317.0,19950,10864.0,33388,55836,101537,130649,150413.0,182513.0,1860765.0
Mizoram,124448.0,131990.0,145311.0,102195,104174,96172.0,86580.0,87298,41699.0,50743,55888,86246,99140,110964.0,123524.0,1446372.0
Nagaland,190781.0,195927.0,196710.0,174708,196940,199290.0,182664.0,195620,113538.0,135346,118825,144405,162277,171921.0,185868.0,2564820.0
Odisha,2102663.0,2277018.0,2493444.0,2946616,3203303,3278430.0,3310686.0,2154908,2348557.0,2693133,2496882,2896597,3058332,3150678.0,3492835.0,41904082.0
Puducherry,10198.0,10635.0,10344.0,10251,10245,10218.0,10157.0,9953,9119.0,8316,8054,8266,8182,8033.0,8032.0,140003.0
Punjab,1901762.0,1904615.0,1871660.0,1759992,1738693,1713931.0,1697444.0,207564,861015.0,856693,497229,717284,840274,926132.0,1023521.0,18517809.0
Rajasthan,5710243.0,6315729.0,6641898.0,6933839,6968492,7143603.0,7111460.0,5672291,5389297.0,5688854,4865932,6260727,6725726,7032027.0,7306768.0,95766886.0
Sikkim,5681.0,6091.0,7917.0,9558,9754,9911.0,9490.0,11206,8052.0,10617,13945,20607,24364,28104.0,30515.0,205812.0
Tamil Nadu,4304758.0,4408836.0,3751568.0,3774706,3709969,3673806.0,3192735.0,2207417,2029571.0,2095323,2045366,2150555,2183435,2194651.0,2250180.0,43972876.0
Telangana,3473585.0,3586323.0,3574008.0,3549963,3593144,3606996.0,3553309.0,3253047,2984823.0,2951129,2871812,3064930,3098123,3077516.0,3106592.0,49345300.0
Dadra and Nagar Haveli and Daman and Diu,14035.0,9410.0,9690.0,9849,7561,11481.0,12737.0,12599,11429.0,11492,10346,11335,11567,11587.0,11691.0,166809.0
Tripura,199346.0,210166.0,219043.0,212358,214747,219098.0,233210.0,231362,219164.0,221258,194950,215284,225528,229366.0,236514.0,3281394.0
Uttar Pradesh,21312145.0,21907403.0,22816796.0,23726074,23957522,24174417.0,24096709.0,18227643,17427353.0,18654256,17561389,20364793,21486114,22579461.0,23542883.0,321834958.0
Uttarakhand,767903.0,833794.0,849303.0,836890,878373,891441.0,889330.0,672735,720079.0,759704,679677,751027,786760,796983.0,820368.0,11934367.0
West Bengal,,,,2029753,3584790,4629277.0,4678485.0,4444111,4291039.0,4472175,3980679,4405643,4498404,4503169.0,4555495.0,50073020.0
